,org_uuid,ccy_pc_perc,ccy_mac_perc,ccy_android_perc,vm_ccy
85,c5cdfd2438ff4b2ba9ef8e6c56d8f6d6,0.973123518,0.026876482,0,10
86,679a067ff64f4503bdd174282269b8c7,0.003684324,0.76757945,0.228736226,5
87,9ce7053a518e4022bbe058074845b7a6,0.920015468,0.056915643,0.023068863,15
89,e249ad4a4722412aa6b44cc2d79957ee,0.509688231,0.469084199,0.02122757,16
91,01bf6848726f4bcc97eb808e37f75687,0.644255017,0.355744983,0,12
92,1df28284e261421eab4b5a14e75a0533,0.036345776,0,0.963654224,5
94,2fde4b544bfb4d15b39c8b63a9883a90,0.404973652,0.595026348,0,52
95,a419d73af02347f582ae01c5e6ce5c11,0.049975681,0.437864786,0.512159533,50
98,4c2eb51fb8514db2842e836de2f1ba4e,1,0,0,3
103,2d40db8f6687411783a421eacaf697cf,0.079902746,0.656965753,0.2631315,12
104,08a9b5e301b349f8b05c183adabc4a85,0.609017706,0.307065447,0.083916846,300
105,7d68c8b953c1419887e2636e52c7c7e5,0.907338307,0.092661693,0,40
106,493006db26194fd1bade42f1f9d9dfa0,0.34693789,0.046060034,0.607002074,15
107,8d3650a424114a919ad713b0546ef744,0.950858463,0.042111924,0.007029613,100
108,6c0f594587ad4b9d8bdafce85c34ad9f,0.718046839,0.281940753,1.24E-05,40
109,f2d4345411e143e1adf7734e53567440,0.89629307,0.098773608,0.004933321,73
110,c0647d10acdf4fc69cec2c98c57760fb,0.899939343,0.099481489,0.000579167,60
111,90754d5c4f73412e98cb987571037d93,1,0,0,20
112,50c522e3e2da47eeb56e0de6b513b4a7,0.436195432,0.395053917,0.16875065,50
113,f4d8a0f6bd744dffbd99a5dbb9fbafdc,0.996903214,0.003015982,8.08E-05,800
114,59bebe79f7b34f79b6efb6b58b21a894,0.761416383,0.236787968,0.001795649,55
115,0e8889f4694e4c0aa4c0c9756b7fdbb6,0.381863693,0.181905161,0.436231132,30
116,a737bad0af41419f9de83175dd30ea48,0.875403164,0.091751424,0.032845409,87
117,09710957fe2944f897d60646e41e10da,0.063288434,0.855931097,0.080780493,20
118,6aed39760fdf4a3083105a04242489de,0.690909071,1.68E-05,0.309074112,20
119,5cae0895b4164d598ef0f85dac45ff31,3.85E-05,0.999961456,0,10
120,c42c8b577b6d47e6b4ab93da28623795,0.275744286,0.161907427,0.56234829,263
121,8ee0fadd443b4eeb94385a6628fc2ad3,0.39507146,0.604804198,0.000124343,6
122,755a5a28e9c74df88959a337fdbc46d0,0.11183668,0.887116736,0.001046584,20
123,da5a60f1720f4e91bb56f0769751351b,0.989202872,0.010168824,0.000628304,5
125,c508f8c2c32d4a80825a418943c1218d,0.955126481,0.044873519,0,55
126,943dee4af279426eaee69ac5ecf35278,0.950657681,0.046492493,0.002849825,20
127,b45464d6fac6455883abdce61a9fb179,0.64318565,0.207274598,0.149539753,10
128,466b83a523c048f1b07c032cc9e1e368,0.996629096,0.003370904,0,47
129,ca57baca2c2243468da033c42403bd39,0.99998706,1.29E-05,0,15
130,8aeb697cc55f42dd8590e7ceebcbe339,0.6380105,0.361820618,0.000168883,37
131,4d4e67689f1f44459268e94fae161683,0.001653769,0.665668731,0.3326775,5
132,2395c6862f334b569d37ccfb356524ab,0.448621377,0.551378623,0,10
133,43c86c9a1eb445dcb5d6d3a145ce75f7,0.48149086,0.341129417,0.177379723,15
135,c7a2b06d6a98449f9fc1ba63f841cb3a,0.998399058,0.001600942,0,75
136,2bc83a6cdf4c47d69c26c2be17d536d9,0.340683227,0.521742985,0.137573786,20
137,4f4f0da143ac4ebe9a6134ad079de51b,0.528602217,0.454553937,0.016843845,80
138,61f995005f3b41968652be49b7595d53,0.007348167,0.992263845,0.000387988,12
139,aa430157c0fc4fcabdf09a2700da7173,0.649068431,0.346939999,0.00399157,10
140,fe9822510bf64d1aaf2faad0656ecf8f,1,0,0,10
141,421288912f48470687ebe8dbe3ef80bf,1,0,0,10
146,569b2b86649347a29fbb6288cedc272d,0.42674893,0.397103117,0.176147953,10
147,4940a9d0c3bf497c95260a6eaadf62b7,0.370938578,0.000304187,0.628757235,10
148,e306bc27282b45cbac75834d198a6b99,0.539792181,0.425703888,0.034503931,26
149,69caf9d3390a4165b373876c0b7a0351,0.22321927,0.629758567,0.147022163,5
152,5706158924094ae1b90c71230edb0902,0.932598346,0.0612002,0.006201453,15
153,d6801f02796049d6a947bc5eae4de1e7,0.256775492,0.622322297,0.120902211,230
154,b60aa7756fd84ef9bd85b03ec3fe3a59,0,0.669804976,0.330195024,8
155,f758dbe392e14a898efe05c4e36ec89a,0.002547568,0.978664119,0.018788313,1
157,0404fedcc8e84bdfa5cad91505412ff1,0.624097507,0.235145888,0.140756606,10
158,d027dbed067248829c0ed323b1278fb8,0.679729075,0.300069,0.020200825,600
159,f2e71bd044e84d5c96851560a8fe963d,0.607262838,0.282263384,0.110473781,233
160,0fd4a3bc1cf14b1e8ed760d4fefaf93e,0.804882085,0.182239459,0.012878455,10
