org_name,org_uuid,arr_ind,current_arr,current_vm_arr,vm_ccy,current_vm_arr_eu,vm_de_ccy,current_vm_arr_total,vm_ccy_total,ccy_bins,arr_per_vm,counts_win,mins_win,counts_mac,mins_mac,counts_android,mins_android,counts_ios,mins_ios,mins_total,counts_total,mins_win_perc,mins_mac_perc,mins_android_perc,mins_ios_perc,counts_win_perc,counts_mac_perc,counts_android_perc,counts_ios_perc,win_arr,mac_arr,ios_arr,android_arr
Grainger,cd4aadfe3c594f50a886f1dc7919d0d0,False,121500,178500,75,0.0,0,178500.0,75,4:50-99,2380.0,589767.0,918988.72,77192.0,72670.27,42.0,514.45,829.0,8410.83,1000584.27,667830.0,0.92,0.07,0.0,0.01,0.88,0.12,0.0,0.0,164220.0,12495.000000000002,1785.0,0.0
Life & Retirement,ce3877bfb26a43afa8336b64fe6cbf6e,True,189525,132525,75,54150.0,38,186675.0,113,5:100-249,1651.9911504424779,743523.0,976741.0,6722.0,51003.22,2377.0,54671.3,2574.0,55458.23,1137873.75,755196.0,0.86,0.04,0.05,0.05,0.98,0.01,0.0,0.0,160540.5,7467.0,9333.75,9333.75
CBRE Group Inc,ce5f00c80c6349d59d639fbc3296bee4,False,22920,57300,10,0.0,0,57300.0,10,2:10-24,5730.0,257010.0,294718.68,54.0,938.07,4442.0,10301.35,86.0,6116.0,312074.1,261592.0,0.94,0.0,0.03,0.02,0.98,0.0,0.02,0.0,53862.0,0.0,1146.0,1719.0
dell_sauce,cf4bfa2e3317424ea3475ef617d359ef,False,704448,705000,311,0.0,0,705000.0,311,6:250-499,2266.8810289389066,5414245.0,12299031.76,1749516.0,1742188.17,2326599.0,2705779.79,1530827.0,1999878.95,18746878.67,11021187.0,0.66,0.09,0.14,0.11,0.49,0.16,0.21,0.14,465300.0,63450.0,77550.0,98700.00000000001
OnDeck,cf5a0a619b08400a9926c95b85975d5a,True,45850,38194,20,0.0,0,38194.0,20,2:10-24,1909.7,94912.0,420173.38,7.0,32.92,3.0,49.33,0.0,0.0,420255.63,94922.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38194.0,0.0,0.0,0.0
Charter,d027dbed067248829c0ed323b1278fb8,True,990360,441000,600,0.0,0,441000.0,600,7:500+,735.0,5784603.0,7821205.74,5925082.0,5657756.05,22333.0,92342.4,3752.0,20333.45,13591637.64,11735770.0,0.58,0.42,0.01,0.0,0.49,0.5,0.0,0.0,255779.99999999997,185220.0,0.0,4410.0
TripActions,d05ca9e4619140c99b0f53142e6e5ea9,True,25776,9600,4,0.0,0,9600.0,4,1:1-9,2400.0,1.0,0.57,1.0,19.35,16.0,309.23,13.0,138.35,467.5,31.0,0.0,0.04,0.66,0.3,0.03,0.03,0.52,0.42,0.0,384.0,2880.0,6336.0
Constellation Brands,d08866b8f10f40deb8acfaf074e046f3,True,7816,7816,4,0.0,0,7816.0,4,1:1-9,1954.0,21950.0,61882.97,1.0,1.42,0.0,0.0,0.0,0.0,61884.38,21951.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7816.0,0.0,0.0,0.0
"Comcast Cable Communications Management, LLC",d0cdb27f110441ecb25fad7bd91ebea7,True,32417,22817,13,0.0,0,22817.0,13,2:10-24,1755.1538461538462,536813.0,396144.29,855.0,10100.9,5.0,27.68,10.0,347.85,406620.73,537683.0,0.97,0.02,0.0,0.0,1.0,0.0,0.0,0.0,22132.489999999998,456.34000000000003,0.0,0.0
iCIMS,d0f26d152b65418d99d8c5a9afbecc2e,False,12000,24000,5,0.0,0,24000.0,5,1:1-9,4800.0,1172.0,9786.07,184.0,3187.02,150.0,1603.9,129.0,1532.87,16109.85,1635.0,0.61,0.2,0.1,0.1,0.72,0.11,0.09,0.08,14640.0,4800.0,2400.0,2400.0
Impact,d0fbb1d73a1740da8acc300e9bdb4f03,True,33504,31116,17,0.0,0,31116.0,17,2:10-24,1830.3529411764705,210714.0,532399.7,1839.0,4315.03,2676.0,4066.62,45.0,274.35,541055.7,215274.0,0.98,0.01,0.01,0.0,0.98,0.01,0.01,0.0,30493.68,311.16,0.0,311.16
Priceline,d10c2800bfa347d28ab2076563a09cdd,True,91860,90900,55,0.0,0,90900.0,55,4:50-99,1652.7272727272727,401950.0,715395.75,20953.0,27483.93,237592.0,382177.8,13077.0,66157.95,1191215.44,673572.0,0.6,0.02,0.32,0.06,0.6,0.03,0.35,0.02,54540.0,1818.0,5454.0,29088.0
Associated Bank,d28a012768124cb485ce55fd8840fd08,True,81704,22898,15,0.0,0,22898.0,15,2:10-24,1526.5333333333333,1342.0,3159.95,156.0,2190.12,43.0,897.05,33.0,730.83,6977.95,1574.0,0.45,0.31,0.13,0.1,0.85,0.1,0.03,0.02,10304.1,7098.38,2289.8,2976.7400000000002
The Associated Press,d2a775e78c8440659f2fbed3bca20a72,True,21984,16704,10,0.0,0,16704.0,10,2:10-24,1670.4,25070.0,103626.82,373.0,12570.02,8.0,64.82,0.0,0.0,116261.65,25451.0,0.89,0.11,0.0,0.0,0.99,0.01,0.0,0.0,14866.56,1837.44,0.0,0.0
Santander Consumer Bank GmbH,d2f39ab8ba834bddb23db42ee2c78366,True,37957,0,0,9716.96,5,9716.96,5,1:1-9,1943.3919999999998,5.0,4.17,6.0,5.0,2.0,182.13,0.0,0.0,191.3,13.0,0.02,0.03,0.95,0.0,0.38,0.46,0.15,0.0,194.33919999999998,291.50879999999995,0.0,9231.112
Zaxby's,d2fc3979e7a04e5f9058bf35a48c420e,True,78480,20880,15,0.0,0,20880.0,15,2:10-24,1392.0,583314.0,639460.3,124816.0,139590.18,215034.0,522539.47,4.0,14.37,1301604.32,923168.0,0.49,0.11,0.4,0.0,0.63,0.14,0.23,0.0,10231.199999999999,2296.8,0.0,8352.0
Stormshield,d35f41e34e844c48a85c4628466d5c22,True,4776,0,0,4776.0,2,4776.0,2,1:1-9,2388.0,1.0,0.35,0.0,0.0,5.0,58.18,5.0,87.45,145.98,11.0,0.0,0.0,0.4,0.6,0.09,0.0,0.45,0.45,0.0,0.0,2865.6,1910.4
Split,d361a142170b45d4b9c22e21d1336634,True,51900,23526,35,0.0,0,23526.0,35,3:25-49,672.1714285714286,342270.0,831108.77,1054928.0,1735760.87,350250.0,635138.01,332165.0,1003863.58,4205871.23,2079613.0,0.2,0.41,0.15,0.24,0.16,0.51,0.17,0.16,4705.2,9645.66,5646.24,3528.9
Mercer Consulting Group,d3a1c896727b42598c4bd8ce2354513b,True,173999,74160,45,19800.0,10,93960.0,55,4:50-99,1708.3636363636363,296340.0,472527.3,115532.0,60916.32,56417.0,82139.17,60153.0,94188.97,709771.75,528442.0,0.67,0.09,0.12,0.13,0.56,0.22,0.11,0.11,62953.200000000004,8456.4,12214.800000000001,11275.199999999999
Tableau Enterprise Applications,d469824414d14a1b95a8132fe2a15ebd,True,134904,134904,100,0.0,0,134904.0,100,5:100-249,1349.04,595863.0,3083700.45,824.0,2196.6,0.0,0.0,0.0,0.0,3085897.05,596687.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,134904.0,0.0,0.0,0.0
Qualcomm - Corporate,d4880b408b5b49059c7d8ca9af7bdc6a,True,24494,24494,24,0.0,0,24494.0,24,2:10-24,1020.5833333333334,33011.0,93334.35,306.0,4231.53,183.0,5075.18,290.0,5144.77,107785.83,33790.0,0.87,0.04,0.05,0.05,0.98,0.01,0.01,0.01,21309.78,979.76,1224.7,1224.7
Shape Security,d540605ddf9a4dc1a3f0f8d14369d648,True,24000,9600,4,0.0,0,9600.0,4,1:1-9,2400.0,31666.0,8219.3,11254.0,2795.23,13.0,271.0,19.0,23.15,11308.68,42952.0,0.73,0.25,0.02,0.0,0.74,0.26,0.0,0.0,7008.0,2400.0,0.0,192.0
Swisscard AECS,d57a4154827b4ac4997df6b6984b08c1,True,17738,0,0,8868.57,4,8868.57,4,1:1-9,2217.1425,13.0,86.73,13.0,73.63,3415.0,14996.48,2355.0,13491.48,28648.33,5796.0,0.0,0.0,0.52,0.47,0.0,0.0,0.59,0.41,0.0,0.0,4168.2279,4611.6564
CriteoRD,d60a74bb19db4161870c35bedd7b8604,True,204337,1986,0,167600.12,125,169586.12,125,5:100-249,1356.68896,985352.0,1767326.07,294078.0,403276.85,61664.0,612148.83,82043.0,861592.7,3644344.45,1423137.0,0.48,0.11,0.17,0.24,0.69,0.21,0.04,0.06,81401.3376,18654.4732,40700.6688,28829.6404
Wipro MIB,d67f7ddc06aa4bca963326950c6b16b9,True,13440,0,0,13440.0,8,13440.0,8,1:1-9,1680.0,239.0,2232.1,88.0,266.88,33.0,827.38,14.0,375.6,3701.97,374.0,0.6,0.07,0.22,0.1,0.64,0.24,0.09,0.04,8064.0,940.8000000000001,1344.0,2956.8
Affirm,d72cc02fbfb84ee39ecd84dee91e2424,True,99716,85471,80,0.0,0,85471.0,80,4:50-99,1068.3875,9.0,192.88,1111697.0,1366053.19,3.0,26.8,1427.0,1432.53,1367705.41,1113136.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,85471.0,0.0,0.0
TaxAct,d77825c5a9264412b7ea430a125ecf88,True,254640,204000,106,0.0,0,204000.0,106,5:100-249,1924.5283018867924,736409.0,787191.45,6784.0,18956.28,14570.0,25029.23,1060.0,322.25,831499.22,758823.0,0.95,0.02,0.03,0.0,0.97,0.01,0.02,0.0,193800.0,4080.0,0.0,6120.0
NHS BSA,d7df0a0654b94ca2a5133cbae77dea49,True,33040,0,0,5303.99,6,5303.99,6,1:1-9,883.9983333333333,12696.0,25934.97,13244.0,29557.85,1729.0,1425.37,3523.0,5550.98,62469.17,31192.0,0.42,0.47,0.02,0.09,0.41,0.42,0.06,0.11,2227.6758,2492.8752999999997,477.35909999999996,106.07979999999999
Bottomline,d92c1d5709be47ae935f2bae1408e1f8,True,20976,13248,6,0.0,0,13248.0,6,1:1-9,2208.0,1030.0,9410.47,100.0,1780.07,21.0,164.12,24.0,753.43,12108.08,1175.0,0.78,0.15,0.01,0.06,0.88,0.09,0.02,0.02,10333.44,1987.1999999999998,794.88,132.48
Spectrum Reach/Kernel,d9704a809c5947cf803b52d978cd2ed0,True,6252,3800,3,0.0,0,3800.0,3,1:1-9,1266.6666666666667,6.0,12.08,2.0,11.0,2.0,10.8,1.0,22.47,56.35,11.0,0.21,0.2,0.19,0.4,0.55,0.18,0.18,0.09,798.0,760.0,1520.0,722.0
CapitalOne,d9be7b14825d4f2ab5dea3d7e6586c28,False,96000,168096,40,0.0,0,168096.0,40,3:25-49,4202.4,35758.0,102668.53,59881.0,821563.0,506.0,7344.12,620.0,9525.27,941100.92,96765.0,0.11,0.87,0.01,0.01,0.37,0.62,0.01,0.01,18490.56,146243.52,1680.96,1680.96
EAX,da1cd680faec44eaa4980a901974b989,True,93600,93442,40,0.0,0,93442.0,40,3:25-49,2336.05,112921.0,365935.03,103.0,2029.0,81.0,1872.1,40.0,617.68,370453.82,113145.0,0.99,0.01,0.01,0.0,1.0,0.0,0.0,0.0,92507.58,934.4200000000001,0.0,934.4200000000001
